t_dim,SW_net,LW_in,LW_out,R_net,H_t,Ls_t,G_t,T_5mm,T_a,T_s,Lf_b,H_b,G_b,top_flux_sum,bottom_flux_sum,mass_loss_bottom,mass_loss_top,thickness_loss_top,thickness_loss_bottom
15.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.188680583478565,-21.508149194953035,194.12863867550527,272.8544144610564,269.8043566079046,272.42301748622197,7060.3839,-7060.3839,0.0,-130.36671363612191,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
15.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.189731350253906,-21.508149194953035,191.78002398528236,272.84919531730037,269.80411068061886,272.42301748622197,7060.3839,-7060.3839,0.0,-132.71637909312017,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
16.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.190782127220453,-21.508149194953035,189.50482340860617,272.84413931601887,269.8038647509479,272.42301748622197,7060.3839,-7060.3839,0.0,-134.99263044676292,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
16.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.191832914376995,-21.508149194953035,187.2997498770161,272.83923915261533,269.80361881889206,272.42301748622197,7060.3839,-7060.3839,0.0,-137.19875476550953,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
17.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.192883711722313,-21.508149194953035,185.16169467236523,272.8344879188272,269.80337288445156,272.42301748622197,7060.3839,-7060.3839,0.0,-139.33786076750567,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
17.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.193934519254954,-21.508149194953035,183.08771654249654,272.8298790785386,269.80312694762677,272.42301748622197,7060.3839,-7060.3839,0.0,-141.41288970490706,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
18.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.19498533697346,-21.508149194953035,181.07503153506457,272.8254064451888,269.802881008418,272.42301748622197,7060.3839,-7060.3839,0.0,-143.4266255300575,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
18.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.196036164876128,-21.508149194953035,179.12100349944353,272.8210641606652,269.8026350668257,272.42301748622197,7060.3839,-7060.3839,0.0,-145.38170439358123,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
19.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.197087002962233,-21.508149194953035,177.22313521049955,272.81684667557863,269.80238912285,272.42301748622197,7060.3839,-7060.3839,0.0,-147.2806235206113,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
19.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.198137851230072,-21.508149194953035,175.37906007089532,272.81274873082396,269.8021431764913,272.42301748622197,7060.3839,-7060.3839,0.0,-149.12574950848335,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
20.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.199188709677946,-21.508149194953035,173.58653435212545,272.8087653403378,269.80189722775003,272.42301748622197,7060.3839,-7060.3839,0.0,-150.91932608570113,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
20.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.200239578304885,-21.508149194953035,171.8434299370898,272.80489177497105,269.8016512766264,272.42301748622197,7060.3839,-7060.3839,0.0,-152.6634813693637,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
21.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.20129045710943,-21.508149194953035,170.14772752985152,272.8011235473994,269.8014053231207,272.42301748622197,7060.3839,-7060.3839,0.0,-154.36023465540654,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
21.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.202341346090122,-21.508149194953035,168.4975103006053,272.7974563980011,269.80115936723337,272.42301748622197,7060.3839,-7060.3839,0.0,-156.01150277363342,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
22.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.203392245245508,-21.508149194953035,166.89095793620936,272.79388628163576,269.8009134089647,272.42301748622197,7060.3839,-7060.3839,0.0,-157.61910603718474,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
22.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.204443154574129,-21.508149194953035,165.32634106883393,272.7904093552638,269.800667448315,272.42301748622197,7060.3839,-7060.3839,0.0,-159.1847738138888,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
23.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.20549407407477,-21.508149194953035,163.8020160568658,272.78702196634833,269.8004214852846,272.42301748622197,7060.3839,-7060.3839,0.0,-160.71014974535757,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
23.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.206545003746216,-21.508149194953035,162.3164200945098,272.78372064198754,269.80017551987373,272.42301748622197,7060.3839,-7060.3839,0.0,-162.19679663738503,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
24.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.20759594358677,-21.508149194953035,160.8680666279099,272.78050207872843,269.79992955208286,272.42301748622197,7060.3839,-7060.3839,0.0,-163.6462010438255,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
24.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.208646893594969,-21.508149194953035,159.45554105735198,272.7773631330161,269.7996835819123,272.42301748622197,7060.3839,-7060.3839,0.0,-165.0597775643916,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
25.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.209697853769848,-21.508149194953035,158.07749670638884,272.77430081223616,269.79943760936226,272.42301748622197,7060.3839,-7060.3839,0.0,-166.43887287552963,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
25.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.21074882410946,-21.508149194953035,156.7326510400335,272.77131226631093,269.7991916344332,272.42301748622197,7060.3839,-7060.3839,0.0,-167.7847695122246,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
26.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.211799804612834,-21.508149194953035,155.41978211567482,272.76839477981235,269.7989456571254,272.42301748622197,7060.3839,-7060.3839,0.0,-169.09868941708663,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
26.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.212850795278515,-21.508149194953035,154.1377252513172,272.7655457645582,269.7986996774391,272.42301748622197,7060.3839,-7060.3839,0.0,-170.38179727210996,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
27.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.213901796105043,-21.508149194953035,152.88536989671684,272.7627627526591,269.79845369537475,272.42301748622197,7060.3839,-7060.3839,0.0,-171.63520362753684,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
27.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.214952807091205,-21.508149194953035,151.66165669431848,272.7600433899871,269.79820771093256,272.42301748622197,7060.3839,-7060.3839,0.0,-172.85996784092134,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
28.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.216003828235301,-21.508149194953035,150.46557471758604,272.7573854300388,269.79796172411295,272.42301748622197,7060.3839,-7060.3839,0.0,-174.05710083879785,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
28.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.217054859535873,-21.508149194953035,149.29615887490968,272.7547867281662,269.79771573491627,272.42301748622197,7060.3839,-7060.3839,0.0,-175.22756771277483,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
29.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.218105900992194,-21.508149194953035,148.15248746867837,272.75224523615236,269.7974697433427,272.42301748622197,7060.3839,-7060.3839,0.0,-176.37229016046246,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
29.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.219156952602075,-21.508149194953035,147.03367989954188,272.74975899710984,269.7972237493927,272.42301748622197,7060.3839,-7060.3839,0.0,-177.4921487812088,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
30.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.220208014364548,-21.508149194953035,145.9388945062443,272.7473261406803,269.7969777530665,272.42301748622197,7060.3839,-7060.3839,0.0,-178.58798523626888,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
30.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.221259086278154,-21.508149194953035,144.86732653248566,272.7449448785164,269.79673175436454,272.42301748622197,7060.3839,-7060.3839,0.0,-179.66060428194112,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
31.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.222310168341679,-21.508149194953035,143.81820621290728,272.7426135000284,269.796485753287,272.42301748622197,7060.3839,-7060.3839,0.0,-180.710775683583,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
31.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.223361260553421,-21.508149194953035,142.79079697032273,272.74033036837824,269.79623974983434,272.42301748622197,7060.3839,-7060.3839,0.0,-181.7392360183793,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
32.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.224412362912169,-21.508149194953035,141.7843937173643,272.738093916705,269.7959937440068,272.42301748622197,7060.3839,-7060.3839,0.0,-182.74669037369648,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
32.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.225463475416463,-21.508149194953035,140.79832125597136,272.73590264456857,269.79574773580475,272.42301748622197,7060.3839,-7060.3839,0.0,-183.73381394759372,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
33.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.226514598064849,-21.508149194953035,139.8319327685556,272.73375511459653,269.7955017252285,272.42301748622197,7060.3839,-7060.3839,0.0,-184.70125355765788,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
33.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.227565730856108,-21.508149194953035,138.88460839503693,272.73164994932205,269.7952557122784,272.42301748622197,7060.3839,-7060.3839,0.0,-185.64962906396778,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
34.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.228616873788788,-21.508149194953035,137.95575389050612,272.72958582820087,269.7950096969547,272.42301748622197,7060.3839,-7060.3839,0.0,-186.57953471143128,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
34.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.229668026861427,-21.508149194953035,137.0447993586282,272.7275614847967,269.7947636792578,272.42301748622197,7060.3839,-7060.3839,0.0,-187.49154039638182,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
35.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.230719190072813,-21.508149194953035,136.1511980558504,272.72557570412386,269.794517659188,272.42301748622197,7060.3839,-7060.3839,0.0,-188.38619286237105,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
